,openrank,activity,stars,attention,participants,new_contributors,inactive_contributors,bus_factor,issues_new,issues_closed
2015-01-01,19.8,426.75,1798,2252,231,35.0,0.0,176,100,69
2015-02-01,50.58,576.83,2785,3481,333,41.0,0.0,97,107,117
2015-03-01,69.75,600.64,2404,3218,354,48.0,0.0,235,126,87
2015-04-01,86.2,544.09,2059,2911,317,36.0,0.0,94,121,142
2015-05-01,85.77,451.06,1657,2359,266,17.0,0.0,185,96,81
2015-06-01,99.41,544.08,1493,2127,311,29.0,0.0,89,121,104
2015-07-01,105.7,556.13,1681,2393,310,36.0,22.0,219,140,134
2015-08-01,102.3,471.25,1578,2260,291,25.0,60.0,187,108,104
2015-09-01,113.13,564.41,1791,2509,362,22.0,102.0,227,154,148
2015-10-01,135.36,710.15,1944,2876,420,33.0,131.0,287,173,168
2015-11-01,122.72,539.99,1881,2773,332,23.0,148.0,219,117,120
2015-12-01,118.41,473.43,1900,2812,283,27.0,168.0,188,94,85
2016-01-01,109.82,488.87,2028,2954,291,19.0,201.0,199,105,96
2016-02-01,110.07,492.63,1688,2458,284,30.0,228.0,189,111,148
2016-03-01,120.37,560.64,2425,3553,327,19.0,250.0,217,127,131
2016-04-01,135.25,645.18,2206,3264,389,30.0,287.0,260,147,142
2016-05-01,153.17,631.97,1796,2722,357,37.0,311.0,101,116,92
2016-06-01,163.85,572.61,1820,2862,326,21.0,339.0,216,108,109
2016-07-01,138.05,544.58,2166,3212,342,17.0,356.0,226,119,80
2016-08-01,144.05,588.48,2076,3146,383,22.0,384.0,223,95,75
2016-09-01,126.93,521.48,2802,3814,323,19.0,410.0,196,101,77
2016-10-01,176.12,690.11,2522,3790,384,53.0,432.0,114,90,171
2016-11-01,176.92,620.98,2383,3753,367,33.0,468.0,233,104,68
2016-12-01,141.33,436.02,2134,3232,288,12.0,489.0,152,73,56
2017-01-01,176.58,674.04,3016,4260,423,45.0,510.0,231,93,92
2017-02-01,126.56,417.39,2833,4171,259,24.0,534.0,150,58,50
2017-03-01,135.44,548.18,2995,4537,353,14.0,551.0,205,102,80
2017-04-01,142.17,565.41,2658,3928,321,40.0,603.0,212,101,106
2017-05-01,139.51,550.92,2768,4082,342,17.0,637.0,210,122,88
2017-06-01,142.39,501.41,2717,4101,296,17.0,646.0,197,107,91
