,openrank,activity,stars,attention,participants,new_contributors,inactive_contributors,bus_factor,issues_new,issues_closed
2015-11-01,104.81,785.56,14078,21388,532,0.0,0.0,345,355,230
2015-12-01,126.84,610.77,1931,3625,373,18.0,0.0,256,238,176
2016-01-01,148.15,651.55,2162,4636,381,20.0,0.0,249,170,134
2016-02-01,179.37,742.87,1492,3486,436,9.0,0.0,287,203,172
2016-03-01,179.82,831.61,1734,3818,451,35.0,0.0,137,223,191
2016-04-01,228.7,898.82,2290,4786,481,39.0,0.0,138,244,178
2016-05-01,250.7,903.8,2780,5818,518,31.0,0.0,364,277,187
2016-06-01,295.57,1113.16,2207,4837,599,48.0,12.0,181,314,415
2016-07-01,319.28,1080.63,1997,4683,640,34.0,25.0,433,307,269
2016-08-01,331.5,1193.31,2038,4634,646,38.0,30.0,486,375,311
2016-09-01,355.82,1235.22,2360,5320,684,51.0,55.0,466,345,282
2016-10-01,362.43,1364.03,3034,6834,746,47.0,90.0,528,354,359
2016-11-01,396.57,1450.01,2844,6716,810,48.0,113.0,563,430,327
2016-12-01,392.31,1265.85,3344,7244,776,31.0,150.0,507,372,299
2017-01-01,380.64,1334.12,3881,7359,796,31.0,173.0,533,373,441
2017-02-01,436.64,1695.67,5164,9642,998,55.0,205.0,686,514,368
2017-03-01,491.23,2095.16,4427,9703,1245,82.0,251.0,839,641,538
2017-04-01,485.25,1676.74,3633,7967,1029,49.0,289.0,667,452,395
2017-05-01,521.01,1867.09,3829,8177,1107,73.0,333.0,735,482,355
2017-06-01,523.43,1859.54,3525,7987,1110,60.0,361.0,709,457,885
2017-07-01,507.45,1744.94,3488,8040,1049,49.0,392.0,680,428,287
2017-08-01,520.31,1852.82,3588,8008,1114,39.0,441.0,720,478,329
2017-09-01,474.51,1660.96,3398,7448,1025,51.0,521.0,641,421,353
2017-10-01,489.48,1712.23,4318,8974,1041,36.0,566.0,646,398,335
2017-11-01,522.36,2044.59,5225,10333,1260,62.0,643.0,786,510,349
2017-12-01,544.66,1866.99,4802,9480,1126,53.0,692.0,719,415,419
2018-01-01,579.74,2128.14,4230,8556,1317,66.0,736.0,823,469,536
2018-02-01,532.0,1735.07,3359,24691,1128,52.0,768.0,677,401,459
2018-03-01,548.05,1949.55,4412,8762,1311,55.0,812.0,765,441,317
2018-04-01,556.7,1856.67,3592,7512,1239,45.0,845.0,702,412,412
2018-05-01,527.08,1718.89,3535,7159,1186,26.0,896.0,690,408,338
2018-06-01,516.24,1759.39,2829,5805,1152,39.0,957.0,673,421,408
2018-07-01,535.61,1965.51,2749,5865,1292,36.0,1023.0,770,461,391
2018-08-01,536.25,1922.33,2404,5182,1269,44.0,1083.0,766,441,424
2018-09-01,544.56,1725.4,2550,5214,1170,22.0,1137.0,662,415,502
2018-10-01,564.45,1930.99,2596,5328,1260,38.0,1183.0,774,456,488
2018-11-01,569.04,1742.94,2518,5146,1228,24.0,1215.0,718,441,418
2018-12-01,543.07,1484.45,2202,4460,1045,20.0,1264.0,612,346,238
2019-01-01,514.71,1659.3,2275,4513,1101,37.0,1302.0,649,427,331
2019-02-01,561.45,1902.11,2077,4145,1223,38.0,1337.0,744,474,463
2019-03-01,588.73,2511.5,3461,6437,1553,36.0,1358.0,1038,706,485
2019-04-01,636.57,2335.39,2820,5588,1435,54.0,1399.0,899,613,471
2019-05-01,634.16,2181.13,2627,5365,1327,34.0,1410.0,856,564,550
2019-06-01,660.46,2237.95,1910,4002,1330,43.0,1426.0,894,668,501
2019-07-01,675.09,2300.11,2213,4493,1402,39.0,1463.0,895,638,549
2019-08-01,737.33,2229.33,1853,3789,1312,46.0,1495.0,860,595,576
2019-09-01,725.2,1925.03,2064,3836,1206,27.0,1526.0,739,519,406
2019-10-01,742.94,2439.46,2010,4036,1586,37.0,1564.0,1018,706,488
2019-11-01,751.13,2219.23,2059,3873,1472,29.0,1613.0,900,620,479
2019-12-01,732.69,2086.19,1658,3440,1340,32.0,1657.0,825,543,447
2020-01-01,666.82,2318.25,1370,2818,1456,47.0,1690.0,923,602,533
2020-02-01,633.56,2271.74,1284,2748,1465,34.0,1737.0,890,582,479
2020-03-01,696.5,2414.29,1605,3269,1543,35.0,1769.0,916,607,540
2020-04-01,726.98,2573.02,1638,3414,1682,22.0,1806.0,1028,730,636
2020-05-01,728.15,2496.45,1693,3343,1650,28.0,1836.0,1001,736,575
2020-06-01,739.11,2507.56,1407,2965,1586,43.0,1869.0,1010,652,661
2020-07-01,729.17,2489.1,1501,2893,1545,29.0,1907.0,993,692,557
2020-08-01,712.37,2214.1,1294,2500,1394,37.0,1944.0,879,622,507
2020-09-01,709.67,2103.61,1257,2397,1271,31.0,1990.0,837,565,554
2020-10-01,669.28,2028.3,1212,2420,1248,37.0,2022.0,801,541,453
2020-11-01,615.35,2067.11,1612,2744,1324,23.0,2044.0,830,565,413
2020-12-01,567.35,1852.1,1451,2603,1146,28.0,2093.0,719,530,478
2021-01-01,537.23,1767.64,1240,2222,1117,34.0,2116.0,689,478,413
2021-02-01,501.98,1646.08,1036,2056,1069,18.0,2151.0,637,467,782
2021-03-01,512.51,1861.35,1251,2323,1131,35.0,2188.0,709,495,466
2021-04-01,493.37,1694.22,1356,2386,1055,21.0,2224.0,654,417,425
2021-05-01,497.68,1621.59,1060,2052,984,16.0,2245.0,598,391,481
2021-06-01,472.07,1558.52,1156,2008,945,26.0,2276.0,573,366,558
