,openrank,activity,stars,attention,participants,new_contributors,inactive_contributors,bus_factor,issues_new,issues_closed
2015-01-01,5.67,83.67,368,480,55,0.0,0.0,44,34.0,19.0
2015-02-01,8.5,62.22,307,379,33,3.0,0.0,12,24.0,24.0
2015-03-01,9.87,62.89,231,305,39,0.0,0.0,32,25.0,15.0
2015-04-01,15.18,94.52,293,367,49,5.0,0.0,16,45.0,56.0
2015-05-01,23.36,110.37,519,615,57,3.0,0.0,46,61.0,86.0
2015-06-01,35.22,195.8,569,691,108,4.0,0.0,92,99.0,101.0
2015-07-01,38.71,179.17,572,734,98,2.0,0.0,85,116.0,112.0
2015-08-01,52.91,224.03,762,918,122,7.0,3.0,99,109.0,113.0
2015-09-01,73.84,285.61,684,844,148,5.0,3.0,50,133.0,135.0
2015-10-01,71.1,312.63,1775,2099,148,8.0,6.0,129,247.0,237.0
2015-11-01,79.4,317.2,1562,1916,178,7.0,8.0,145,180.0,176.0
2015-12-01,75.57,305.0,1647,1971,181,8.0,13.0,141,141.0,141.0
2016-01-01,75.89,311.52,1711,2127,185,6.0,13.0,153,138.0,137.0
2016-02-01,68.07,244.59,1039,1275,156,4.0,17.0,117,99.0,95.0
2016-03-01,65.33,305.24,1416,1834,171,7.0,23.0,146,131.0,133.0
2016-04-01,85.09,365.28,2165,2683,207,10.0,28.0,171,137.0,128.0
2016-05-01,89.3,305.13,2188,2868,178,5.0,36.0,140,115.0,118.0
2016-06-01,94.48,332.3,1862,2476,208,11.0,39.0,153,139.0,147.0
2016-07-01,94.95,334.11,2219,2889,209,6.0,46.0,155,145.0,144.0
2016-08-01,104.25,408.18,2454,3240,241,6.0,50.0,188,201.0,191.0
2016-09-01,97.9,398.51,3008,3980,236,11.0,51.0,181,173.0,187.0
2016-10-01,97.85,485.32,3976,5106,289,10.0,62.0,224,209.0,179.0
2016-11-01,111.07,534.65,3497,4749,322,8.0,68.0,250,226.0,251.0
2016-12-01,118.76,514.57,3294,4526,314,7.0,79.0,249,226.0,215.0
2017-01-01,109.09,441.77,4100,5142,282,8.0,84.0,209,174.0,175.0
2017-02-01,109.28,455.12,4480,5972,275,13.0,89.0,210,162.0,167.0
2017-03-01,132.07,607.05,4622,6434,377,10.0,97.0,275,247.0,240.0
2017-04-01,117.76,443.7,3757,5225,287,9.0,106.0,213,199.0,208.0
2017-05-01,120.74,456.83,3816,5318,277,14.0,112.0,212,187.0,178.0
2017-06-01,115.81,442.41,3706,5142,268,10.0,119.0,198,173.0,160.0
2017-07-01,125.46,534.29,4193,5847,351,3.0,126.0,241,221.0,226.0
2017-08-01,123.47,503.81,3969,5657,328,2.0,139.0,229,195.0,176.0
2017-09-01,110.93,518.59,4252,5946,337,14.0,151.0,237,197.0,225.0
2017-10-01,120.01,538.26,4084,5588,351,12.0,160.0,243,199.0,195.0
2017-11-01,108.72,402.26,3677,5215,272,11.0,173.0,180,144.0,153.0
2017-12-01,109.11,413.83,3529,4917,281,3.0,179.0,175,154.0,142.0
2018-01-01,104.2,449.46,4662,6208,297,1.0,184.0,204,197.0,172.0
2018-02-01,88.33,322.02,3327,4445,234,3.0,186.0,145,113.0,109.0
2018-03-01,95.44,477.94,4601,6257,307,18.0,197.0,214,163.0,173.0
2018-04-01,91.32,387.91,3959,5443,284,2.0,211.0,176,123.0,107.0
2018-05-01,88.04,388.9,3687,5015,278,1.0,224.0,182,135.0,119.0
2018-06-01,81.49,350.75,11164,12708,267,0.0,232.0,161,115.0,105.0
2018-07-01,72.56,337.2,4032,5522,244,0.0,234.0,151,107.0,89.0
2018-08-01,70.04,336.49,3775,5175,245,4.0,234.0,144,112.0,106.0
2018-09-01,73.2,298.93,3004,4168,232,0.0,261.0,136,102.0,90.0
2018-10-01,70.89,337.5,2859,4047,235,22.0,257.0,154,92.0,96.0
2018-11-01,69.58,293.28,3237,4643,210,5.0,256.0,135,86.0,81.0
2018-12-01,75.75,345.54,3208,4348,228,23.0,252.0,154,98.0,125.0
2019-01-01,68.48,289.13,3486,4762,214,5.0,251.0,113,72.0,69.0
2019-02-01,88.42,405.33,2954,4060,263,9.0,254.0,173,150.0,144.0
2019-03-01,86.38,404.61,5579,7403,286,7.0,252.0,171,159.0,148.0
2019-04-01,85.09,368.42,4306,5980,259,5.0,274.0,160,126.0,121.0
2019-05-01,71.79,289.79,3628,5276,213,2.0,283.0,124,108.0,97.0
2019-06-01,63.94,266.34,3180,4572,192,1.0,310.0,113,101.0,88.0
2019-07-01,62.14,287.84,3248,4812,220,1.0,314.0,123,96.0,89.0
2019-08-01,57.29,260.57,2805,4165,185,2.0,326.0,115,99.0,92.0
2019-09-01,64.05,274.79,2299,3509,197,1.0,339.0,117,95.0,90.0
2019-10-01,51.38,254.26,2829,4253,178,3.0,347.0,102,88.0,75.0
2019-11-01,49.61,210.63,2422,3600,162,0.0,349.0,86,78.0,68.0
2019-12-01,43.84,199.36,2401,3595,144,2.0,350.0,90,74.0,67.0
2020-01-01,40.52,214.63,1850,2794,157,1.0,352.0,88,68.0,61.0
2020-02-01,42.07,222.76,2296,3270,153,3.0,354.0,96,70.0,64.0
